"setor_economatica","setor_bovespa","id_cvm","codigo","listagem_bovespa","at","k","ll","d_cp","d_lp","v","depreciacao","caixa","dividendos","qtd_acoes","pl","v_merc","ebit","desp_fin","div_onerosa","fcl","cap_giro","ano"
"Textil","Consumo Ciclico","02234","ARZZ3","Novo Mercado",798929990.64,47396512.151,143337954.9,160087027.7,37961957.36,1062219782.6,6349158.0995,24295152.038,13208376.706,88542000,600881005.58,3199218756.5,177849963.12,17000973.856,60485979.046,20025351.039,516409665.85,2011
"Textil","Consumo Ciclico","02234","ARZZ3","Novo Mercado",941067196.83,90308840.456,143208030.94,188360972.88,81711095.88,1271826096.8,11172928.73,17026963.895,28873993.645,88587000,670995128.07,5163943008.1,189524388.45,20728606.333,139083597.08,9200887.5919,570833473.38,2012
"Textil","Consumo Ciclico","02234","ARZZ3","Novo Mercado",982448509.42,95671574.108,154311466.9,200798223.76,63458156.854,1344075139.5,15311806.719,19242348.9,27423068.971,88637000,718192128.81,3680627184.4,207260727.42,23185453.183,137370774.27,39051388.185,571202971.67,2013
"Textil","Consumo Ciclico","02234","ARZZ3","Novo Mercado",1044811113,99386452.13,147901081.61,234542687.45,54323005.293,1381140733.1,17354293.58,14207434.147,37300581.424,88682000,755945420.27,3136190700.7,194229043.87,19644588.107,130399873.37,84292283.103,576967953.98,2014
"Textil","Consumo Ciclico","02234","ARZZ3","Novo Mercado",1012126707.5,87224796.811,141828446.47,226109126.37,53656649.089,1328120291.9,28692102.254,10456118.889,39718317.855,88735000,732360932.06,2208603253.6,167459093.82,35041391.406,145964907.01,82134224.307,554014294.81,2015
"Textil","Consumo Ciclico","02234","ARZZ3","Novo Mercado",1011572807.8,81461257.434,129519295.7,225063319.11,39719220.946,1381748052.1,28786650.066,5597868.8101,82633241.521,88836000,746790267.78,2482498879.8,168745636.57,33435557.451,118256651.28,88941437.509,562462037.84,2016
"Textil","Consumo Ciclico","02234","ARZZ3","Novo Mercado",1137237965.5,73262501.473,167320045.58,386508547.05,30452746.561,1473649069,35346589.805,11000857.013,26427620.068,89741000,720276671.88,5317188522.6,188077176.63,26589015.076,196863997.43,165754838.96,539873882.02,2017
"Textil","Consumo Ciclico","02234","ARZZ3","Novo Mercado",1091099165.9,86868671.675,148932041.71,267169114.87,81230628.538,1593957277.3,42684162.876,8875741.6126,43770008.221,90251000,742699422.45,5188273528.9,199710972.82,64023112.068,116329535.23,78994204.76,611949025.77,2018
"Textil","Consumo Ciclico","02234","ARZZ3","Novo Mercado",1414633257,304379843.93,162297812.81,465114126.78,202717364.43,1680879786.4,80400674.239,13821524.736,43568633.088,90949000,746801765.77,5826437326.8,223320525.19,42938016.012,180961075.32,145543418.18,516511420.42,2019
"Outros","Bens industriais","01910","ATMP3","Novo Mercado",2297159322.5,676326728.38,180795710.42,840633899.33,755040132.99,3995902140.2,203476408.82,646215772.53,148305205.88,59368804,698152588.9,3165124568.2,291676347.55,51125303.613,645117647.47,63372980.728,162630822.23,2010
"Outros","Bens industriais","01910","ATMP3","Novo Mercado",4142218594,813457327.5,32731490.252,1799847071.6,1562978726.8,4625277186.9,249036260.61,845796102.45,148297745.72,64334285,772563304.52,2126851287.9,161745506.66,129876112.53,1983684769.5,417921049.77,46474961.109,2011
"Outros","Bens industriais","01910","ATMP3","Novo Mercado",3665895865.6,801893423.96,65823894.892,1217790100,1702422905.6,5349956909.9,304560614.31,525158694.47,153090411.01,64334285,730691503.83,2360005899.9,238673152.88,178604247.6,1631351075.1,263067922.65,64341168.309,2012
"Outros","Bens industriais","01910","ATMP3","Novo Mercado",3682951522.2,709634545.67,142729208.72,1302657888.8,1768590444.5,5049912020.2,289174008.1,535578245.79,87461542.465,345766110,611701793.18,2064209220.8,274085527.64,226702674.16,1684051684.5,219264513.91,21052687.4,2013
"Outros","Bens industriais","01910","ATMP3","Novo Mercado",3481029932.4,588412867.93,126774229.57,1319370991.3,1642495345,4528422545.7,227532759.64,487475941.49,133854991.23,338976370,519162284.33,1201895413.8,313873977.48,207680916.94,1854049824.3,50387791.33,74694296.246,2014
"Outros","Bens industriais","01910","ATMP3","Novo Mercado",3106929886.9,442444827.63,268784598.69,1884281042.3,1020336811.3,3803865412.3,237864259.81,437963464.5,0,338938020,202310848.07,42977702.673,117828678.68,332426829.46,1863576220.2,63920760.355,860364829.59,2015
"Outros","Bens industriais","01910","ATMP3","Novo Mercado",2389304221.8,167856891.26,82445902.485,678905514.88,1696090688,2277736020.1,193008271.94,361210848.32,8060038.9959,4117513,14306903.751,43160039.327,156753708.04,290911875.11,1597898270.5,131044770.7,266633628.15,2016
